custom_lambda_0.0022 Coefficients
==================================================
Bias Term      : 0.007706
V1             : -0.003720
V2             : -0.005639
V3             : 0.006616
V4             : 0.001225
V7             : 0.002486
V11            : 0.003447
V12            : -0.002676
V13            : 0.004569
V15            : 0.003357
V16            : 0.009234
V17            : 0.004162
V18            : -0.002378
V19            : -0.005216
V20            : 0.003402
V21            : -0.003558
V22            : -0.005357
V23            : -0.012077
V24            : 0.005854
V25            : -0.006417
V26            : -0.004071
V27            : -0.006337
V28            : 0.008570
V29            : -0.005127
V30            : 0.006323
V31            : -0.004624
V32            : 0.010788
V33            : 0.012386
V34            : -0.007759
V35            : 0.006106
V36            : -0.005205
V37            : 0.003918
V38            : -0.004621
V39            : -0.007417
V40            : -0.004216
V41            : 0.009339
V42            : -0.002780
V43            : 0.005317
V44            : -0.006765
V45            : 0.006855
V46            : 0.008727
V47            : -0.000647
V48            : -0.013240
V49            : -0.003856
V50            : 0.000092
V51            : -0.008011
V52            : -0.006231
V53            : -0.002976
V54            : 0.006552
V55            : -0.006597
V56            : 0.018029
V57            : 0.010755
V58            : 0.006034
V59            : 0.002091
V60            : -0.001304
V61            : -0.006335
V62            : 0.010216
V63            : 0.000854
V64            : 0.008235
V65            : 0.008571
V66            : 0.003037
V67            : -0.003858
V68            : 0.000089
V69            : -0.008675
V70            : -0.003792
V71            : -0.008747
V72            : -0.004493
V73            : -0.004777
V74            : 0.002234
V75            : -0.006513
V76            : -0.005712
V77            : -0.003806
V78            : 0.004303
V79            : -0.009457
V80            : -0.006120
V81            : -0.002735
V82            : -0.004345
V83            : 0.000840
V84            : -0.007825
V85            : 0.001763
V86            : 0.002150
V87            : 0.007400
V88            : -0.005980
V89            : -0.006380
V90            : 0.003429
V91            : -0.005192
V92            : 0.005705
V93            : 0.006647
V94            : 0.004101
V95            : 0.003334
V96            : -0.005191
V97            : 0.003445
V98            : 0.007215
V99            : 0.007932
V100           : -0.003364
V101           : 0.008357
V102           : 0.005022
V103           : -0.005320
V104           : 0.002772
V105           : 0.002210
V106           : 0.004027
V107           : -0.005940
V108           : -0.002328
V109           : -0.005149
V110           : 0.006246
V111           : 0.005833
V112           : -0.002942
V113           : 0.017996
V114           : -0.008900
V115           : 0.016501
V116           : -0.006230
V117           : 0.003412
V118           : -0.005238
V119           : -0.005226
V120           : -0.007537
V121           : -0.005724
V122           : -0.009062
V123           : -0.006266
V124           : 0.003767
V125           : 0.003209
V126           : -0.009489
V127           : -0.016182
V128           : 0.004822
V129           : 0.007616
V130           : 0.002266
V131           : -0.006710
V132           : -0.008951
V133           : 0.008551
V134           : -0.006058
V135           : -0.009972
V136           : -0.007930
V137           : 0.011809
V138           : -0.013292
V139           : -0.004294
V140           : 0.012636
V141           : 0.003041
V142           : 0.004063
V143           : -0.009822
V144           : -0.003353
V145           : 0.008446
V146           : -0.005041
V147           : -0.008641
V148           : 0.004444
V149           : 0.004041
V150           : -0.011059
V151           : -0.009904
V152           : 0.013886
V153           : -0.009600
V154           : -0.009807
V155           : 0.010177
V156           : -0.008346
V157           : 0.004977
V158           : 0.003123
V159           : -0.008464
V160           : -0.002172
V161           : 0.005364
V162           : -0.006019
V163           : -0.007511
V164           : 0.000095
V165           : 0.004316
V166           : -0.013604
V167           : -0.001492
V168           : 0.013171
V169           : 0.009470
V170           : -0.006098
V171           : 0.004994
V172           : -0.000000
V173           : 0.013419
V174           : 0.000000
V175           : -0.005198
V176           : 0.004834
V177           : 0.003741
V178           : 0.004594
V179           : -0.013799
V180           : -0.006269
V181           : 0.009367
V182           : -0.014828
V183           : 0.007333
V184           : -0.000822
V185           : -0.005546
V186           : -0.002624
V187           : -0.000015
V188           : -0.010225
V189           : -0.009907
V190           : -0.002282
V191           : 0.013155
V192           : 0.003499
V193           : -0.009990
V194           : -0.009247
V195           : -0.013341
V196           : 0.013424
V197           : -0.006635
V198           : -0.007685
V199           : 0.005771
V200           : -0.007487
V201           : -0.007772
V202           : -0.018643
V203           : 0.005449
V204           : -0.010135
V205           : -0.006070
V206           : -0.010153
V207           : 0.002174
V208           : -0.007190
V209           : 0.007835
V210           : -0.009192
V211           : 0.009525
V212           : 0.004878
V213           : -0.001621
V214           : 0.005627
V215           : 0.001464
V216           : -0.004410
V217           : -0.006465
V218           : -0.008710
V219           : 0.001382
V220           : -0.006853
V221           : -0.006553
V222           : -0.004910
V223           : -0.007922
V224           : -0.006524
V225           : 0.010446
V226           : -0.025123
V227           : -0.007588
V228           : -0.011030
V229           : -0.001583
V230           : -0.007893
V231           : -0.002141
V232           : -0.008341
V233           : -0.012434
V234           : -0.006195
V235           : -0.011354
V236           : -0.006958
V237           : -0.001196
V238           : -0.002093
V239           : 0.002336
V240           : 0.004708
V241           : 0.002956
V242           : -0.006932
V243           : -0.004550
V244           : -0.009770
V245           : 0.007369
V246           : 0.004325
V247           : 0.006262
V248           : -0.012107
V249           : -0.004924
V250           : -0.011639
V251           : -0.005769
V252           : 0.002979
V253           : 0.002303
V254           : -0.013913
V255           : 0.009079
V256           : 0.001205
V257           : 0.006978
V258           : -0.010642
V259           : -0.014646
V260           : 0.003115
V261           : -0.003739
V262           : -0.006174
V263           : 0.004396
V264           : 0.003082
V265           : -0.013070
V266           : -0.008994
V267           : 0.004224
V268           : -0.001447
V269           : 0.005734
V270           : -0.012658
V271           : -0.007769
V272           : 0.002594
V273           : -0.007903
V274           : -0.002069
V275           : 0.005758
V276           : -0.002802
