custom_lambda_0.0060 Coefficients
==================================================
Bias Term      : 0.007578
V1             : -0.003640
V2             : -0.005502
V3             : 0.006213
V4             : 0.001190
V7             : 0.002473
V11            : 0.003108
V12            : -0.002587
V13            : 0.004344
V15            : 0.003320
V16            : 0.008860
V17            : 0.004081
V18            : -0.002199
V19            : -0.004876
V20            : 0.003037
V21            : -0.003381
V22            : -0.005195
V23            : -0.011895
V24            : 0.005563
V25            : -0.006197
V26            : -0.003998
V27            : -0.005730
V28            : 0.008356
V29            : -0.004955
V30            : 0.006092
V31            : -0.004097
V32            : 0.010619
V33            : 0.011688
V34            : -0.007318
V35            : 0.005267
V36            : -0.005096
V37            : 0.003880
V38            : -0.003879
V39            : -0.007321
V40            : -0.004043
V41            : 0.009157
V42            : -0.002413
V43            : 0.004765
V44            : -0.006621
V45            : 0.006608
V46            : 0.008483
V47            : -0.000099
V48            : -0.012862
V49            : -0.003766
V50            : 0.000000
V51            : -0.007893
V52            : -0.006031
V53            : -0.002811
V54            : 0.006361
V55            : -0.006001
V56            : 0.017696
V57            : 0.010436
V58            : 0.005952
V59            : 0.002004
V60            : -0.001052
V61            : -0.006253
V62            : 0.009909
V63            : 0.000475
V64            : 0.008088
V65            : 0.007891
V66            : 0.002937
V67            : -0.003779
V68            : 0.000000
V69            : -0.008523
V70            : -0.003665
V71            : -0.008257
V72            : -0.004412
V73            : -0.004462
V74            : 0.002166
V75            : -0.006390
V76            : -0.005634
V77            : -0.003453
V78            : 0.004227
V79            : -0.009297
V80            : -0.006043
V81            : -0.002578
V82            : -0.004210
V83            : 0.000284
V84            : -0.007721
V85            : 0.001701
V86            : 0.001950
V87            : 0.007194
V88            : -0.005905
V89            : -0.006300
V90            : 0.003405
V91            : -0.004354
V92            : 0.005621
V93            : 0.006511
V94            : 0.003897
V95            : 0.003229
V96            : -0.004912
V97            : 0.002432
V98            : 0.006876
V99            : 0.007370
V100           : -0.003137
V101           : 0.007993
V102           : 0.004943
V103           : -0.005146
V104           : 0.002745
V105           : 0.001905
V106           : 0.003978
V107           : -0.005865
V108           : -0.002202
V109           : -0.003973
V110           : 0.004628
V111           : 0.005575
V112           : -0.002784
V113           : 0.017464
V114           : -0.008651
V115           : 0.016170
V116           : -0.006151
V117           : 0.003372
V118           : -0.004932
V119           : -0.004924
V120           : -0.006750
V121           : -0.005561
V122           : -0.008894
V123           : -0.006187
V124           : 0.003646
V125           : 0.003190
V126           : -0.009364
V127           : -0.015742
V128           : 0.004744
V129           : 0.007457
V130           : 0.001877
V131           : -0.005820
V132           : -0.007919
V133           : 0.008331
V134           : -0.004564
V135           : -0.009816
V136           : -0.007770
V137           : 0.011291
