custom_lambda_0.0003 Coefficients
==================================================
Bias Term      : 0.007769
V1             : -0.003760
V2             : -0.005705
V3             : 0.006813
V4             : 0.001241
V7             : 0.002492
V11            : 0.003612
V12            : -0.002719
V13            : 0.004678
V15            : 0.003375
V16            : 0.009417
V17            : 0.004202
V18            : -0.002465
V19            : -0.005383
V20            : 0.003581
V21            : -0.003644
V22            : -0.005437
V23            : -0.012166
V24            : 0.005996
V25            : -0.006524
V26            : -0.004107
V27            : -0.006634
V28            : 0.008674
V29            : -0.005212
V30            : 0.006435
V31            : -0.004882
V32            : 0.010871
V33            : 0.012727
V34            : -0.007975
V35            : 0.006516
V36            : -0.005258
V37            : 0.003936
V38            : -0.004984
V39            : -0.007463
V40            : -0.004300
V41            : 0.009429
V42            : -0.002959
V43            : 0.005586
V44            : -0.006836
V45            : 0.006975
V46            : 0.008846
V47            : -0.000914
V48            : -0.013425
V49            : -0.003900
V50            : 0.000457
V51            : -0.008068
V52            : -0.006329
V53            : -0.003057
V54            : 0.006645
V55            : -0.006889
V56            : 0.018192
V57            : 0.010911
V58            : 0.006074
V59            : 0.002133
V60            : -0.001427
V61            : -0.006374
V62            : 0.010366
V63            : 0.001039
V64            : 0.008306
V65            : 0.008903
V66            : 0.003086
V67            : -0.003897
V68            : 0.000151
V69            : -0.008749
V70            : -0.003854
V71            : -0.008986
V72            : -0.004533
V73            : -0.004932
V74            : 0.002267
V75            : -0.006573
V76            : -0.005750
V77            : -0.003978
V78            : 0.004341
V79            : -0.009535
V80            : -0.006157
V81            : -0.002812
V82            : -0.004411
V83            : 0.001112
V84            : -0.007876
V85            : 0.001793
V86            : 0.002247
V87            : 0.007501
V88            : -0.006016
V89            : -0.006419
V90            : 0.003441
V91            : -0.005602
V92            : 0.005746
V93            : 0.006714
V94            : 0.004201
V95            : 0.003386
V96            : -0.005328
V97            : 0.003940
V98            : 0.007381
V99            : 0.008206
V100           : -0.003475
V101           : 0.008535
V102           : 0.005060
V103           : -0.005404
V104           : 0.002785
V105           : 0.002358
V106           : 0.004051
V107           : -0.005976
V108           : -0.002390
V109           : -0.005723
V110           : 0.007036
V111           : 0.005959
V112           : -0.003019
V113           : 0.018256
V114           : -0.009022
