custom_lambda_0.0167 Coefficients
==================================================
Bias Term      : 0.007222
V1             : -0.003416
V2             : -0.005122
V3             : 0.005093
V4             : 0.001095
V7             : 0.002436
V11            : 0.002165
V12            : -0.002340
V13            : 0.003719
V15            : 0.003219
V16            : 0.007817
V17            : 0.003856
V18            : -0.001701
V19            : -0.003930
V20            : 0.002022
V21            : -0.002887
V22            : -0.004742
V23            : -0.011389
V24            : 0.004754
V25            : -0.005585
V26            : -0.003794
V27            : -0.004041
V28            : 0.007761
V29            : -0.004474
V30            : 0.005450
V31            : -0.002631
V32            : 0.010148
V33            : 0.009746
V34            : -0.006091
V35            : 0.002934
V36            : -0.004794
V37            : 0.003774
V38            : -0.001814
V39            : -0.007055
V40            : -0.003563
V41            : 0.008649
V42            : -0.001392
V43            : 0.003229
V44            : -0.006218
V45            : 0.005921
V46            : 0.007806
V47            : -0.000000
V48            : -0.011810
V49            : -0.003515
V50            : 0.000000
V51            : -0.007568
V52            : -0.005474
V53            : -0.002351
V54            : 0.005830
V55            : -0.004340
V56            : 0.016770
V57            : 0.009549
V58            : 0.005726
V59            : 0.001763
V60            : -0.000353
V61            : -0.006027
V62            : 0.009056
V63            : 0.000000
V64            : 0.007679
V65            : 0.005999
V66            : 0.002660
V67            : -0.003559
V68            : 0.000000
V69            : -0.008101
V70            : -0.003312
V71            : -0.006894
V72            : -0.004187
V73            : -0.003584
V74            : 0.001976
V75            : -0.006048
V76            : -0.005418
V77            : -0.002472
V78            : 0.004013
V79            : -0.008852
V80            : -0.005829
V81            : -0.002139
V82            : -0.003832
V83            : 0.000000
V84            : -0.007432
V85            : 0.001529
V86            : 0.001393
V87            : 0.006619
V88            : -0.005696
V89            : -0.006078
V90            : 0.003338
V91            : -0.002022
V92            : 0.005386
V93            : 0.006133
V94            : 0.003329
V95            : 0.002936
V96            : -0.004134
V97            : 0.000000
V98            : 0.005931
V99            : 0.005807
V100           : -0.002504
V101           : 0.006980
V102           : 0.004724
V103           : -0.004663
V104           : 0.002669
V105           : 0.001058
V106           : 0.003841
V107           : -0.005658
V108           : -0.001851
V109           : -0.000702
V110           : 0.000128
V111           : 0.004855
V112           : -0.002346
V113           : 0.015984
V114           : -0.007957
V115           : 0.015250
V116           : -0.005934
V117           : 0.003260
V118           : -0.004080
V119           : -0.004084
V120           : -0.004560
V121           : -0.005107
V122           : -0.008426
V123           : -0.005968
V124           : 0.003309
V125           : 0.003136
V126           : -0.009017
V127           : -0.014517
V128           : 0.004527
V129           : 0.007012
V130           : 0.000794
V131           : -0.003345
V132           : -0.005047
V133           : 0.007719
V134           : -0.000410
V135           : -0.009381
V136           : -0.007324
V137           : 0.009850
V138           : -0.012361
V139           : -0.003987
V140           : 0.012114
V141           : 0.002045
V142           : 0.003818
V143           : -0.007417
V144           : -0.001638
V145           : 0.007311
V146           : -0.004558
V147           : -0.007919
V148           : 0.004103
V149           : 0.002173
V150           : -0.008373
V151           : -0.009330
V152           : 0.011743
V153           : -0.009067
V154           : -0.008961
V155           : 0.009563
V156           : -0.007815
V157           : 0.002249
V158           : 0.002993
V159           : -0.007772
V160           : -0.001653
V161           : 0.005018
V162           : -0.005502
V163           : -0.007155
V164           : 0.000000
V165           : 0.004173
V166           : -0.011293
V167           : -0.000930
V168           : 0.012190
V169           : 0.008587
V170           : -0.005140
V171           : 0.004632
V172           : -0.000000
V173           : 0.011698
V174           : 0.000000
V175           : -0.004801
V176           : 0.004599
V177           : 0.003086
V178           : 0.003977
V179           : -0.011012
V180           : -0.005844
V181           : 0.006731
V182           : -0.013803
V183           : 0.005729
V184           : -0.000000
V185           : -0.004660
V186           : -0.000000
V187           : -0.000000
V188           : -0.009657
V189           : -0.009148
V190           : -0.001895
V191           : 0.011707
V192           : 0.003203
V193           : -0.009194
V194           : -0.008569
V195           : -0.011498
V196           : 0.011706
V197           : -0.006003
V198           : -0.006986
V199           : 0.005483
V200           : -0.006987
V201           : -0.007333
V202           : -0.016998
