custom_lambda_0.0464 Coefficients
==================================================
Bias Term      : 0.006231
V1             : -0.002792
V2             : -0.004066
V3             : 0.001975
V4             : 0.000830
V7             : 0.002334
V11            : 0.000000
V12            : -0.001654
V13            : 0.001981
V15            : 0.002937
V16            : 0.004916
V17            : 0.003230
V18            : -0.000316
V19            : -0.001295
V20            : 0.000000
V21            : -0.001515
V22            : -0.003484
V23            : -0.009980
V24            : 0.002504
V25            : -0.003883
V26            : -0.003226
V27            : -0.000000
V28            : 0.006106
V29            : -0.003136
V30            : 0.003665
V31            : -0.000000
V32            : 0.008837
V33            : 0.004341
V34            : -0.002676
V35            : 0.000000
V36            : -0.003952
V37            : 0.003480
V38            : -0.000000
V39            : -0.006316
V40            : -0.002226
V41            : 0.007236
V42            : -0.000000
V43            : 0.000000
V44            : -0.005098
V45            : 0.004010
V46            : 0.005921
V47            : -0.000000
V48            : -0.008883
V49            : -0.002816
V50            : 0.000000
V51            : -0.006661
V52            : -0.003924
V53            : -0.001071
V54            : 0.004353
V55            : -0.000000
V56            : 0.014193
V57            : 0.007079
V58            : 0.005096
V59            : 0.001094
V60            : -0.000000
V61            : -0.005396
V62            : 0.006680
V63            : 0.000000
V64            : 0.006542
V65            : 0.000734
V66            : 0.001889
V67            : -0.002946
V68            : 0.000000
V69            : -0.006927
V70            : -0.002329
V71            : -0.003102
V72            : -0.003561
V73            : -0.001141
V74            : 0.001450
V75            : -0.005095
V76            : -0.004818
V77            : -0.000000
V78            : 0.003419
V79            : -0.007615
V80            : -0.005236
V81            : -0.000919
V82            : -0.002782
V83            : 0.000000
V84            : -0.006628
V85            : 0.001051
V86            : 0.000000
V87            : 0.005021
V88            : -0.005116
V89            : -0.005459
V90            : 0.003150
V91            : -0.000000
V92            : 0.004733
V93            : 0.005081
V94            : 0.001747
V95            : 0.002119
V96            : -0.001969
V97            : 0.000000
V98            : 0.003303
V99            : 0.001459
V100           : -0.000743
V101           : 0.004161
V102           : 0.004115
V103           : -0.003319
V104           : 0.002458
V105           : 0.000000
V106           : 0.003461
V107           : -0.005082
V108           : -0.000873
V109           : -0.000000
V110           : 0.000000
V111           : 0.002853
V112           : -0.001127
V113           : 0.011866
V114           : -0.006027
V115           : 0.012690
V116           : -0.005330
V117           : 0.002947
V118           : -0.001711
V119           : -0.001747
V120           : -0.000000
V121           : -0.003844
V122           : -0.007124
V123           : -0.005360
V124           : 0.002373
V125           : 0.002985
V126           : -0.008050
V127           : -0.011109
V128           : 0.003924
V129           : 0.005776
V130           : 0.000000
V131           : -0.000000
