custom_lambda_0.1292 Coefficients
==================================================
Bias Term      : 0.003473
V1             : -0.001056
V2             : -0.001127
V3             : 0.000000
V4             : 0.000093
V7             : 0.002050
V11            : 0.000000
V12            : -0.000000
V13            : 0.000000
V15            : 0.002151
V16            : 0.000000
V17            : 0.001486
V18            : -0.000000
V19            : -0.000000
V20            : 0.000000
V21            : -0.000000
V22            : -0.000000
V23            : -0.006061
V24            : 0.000000
V25            : -0.000000
V26            : -0.001646
V27            : -0.000000
V28            : 0.001500
V29            : -0.000000
V30            : 0.000000
V31            : -0.000000
V32            : 0.005191
V33            : 0.000000
V34            : -0.000000
V35            : 0.000000
V36            : -0.001609
V37            : 0.002662
V38            : -0.000000
V39            : -0.004260
V40            : -0.000000
V41            : 0.003305
V42            : -0.000000
V43            : 0.000000
V44            : -0.001982
V45            : 0.000000
V46            : 0.000676
V47            : -0.000000
V48            : -0.000739
V49            : -0.000873
V50            : 0.000000
V51            : -0.004137
V52            : -0.000000
V53            : -0.000000
V54            : 0.000242
V55            : -0.000000
V56            : 0.007022
V57            : 0.000208
V58            : 0.003343
V59            : 0.000000
V60            : -0.000000
V61            : -0.003642
V62            : 0.000069
V63            : 0.000000
V64            : 0.003379
V65            : 0.000000
V66            : 0.000000
V67            : -0.001239
V68            : 0.000000
V69            : -0.003660
V70            : -0.000000
V71            : -0.000000
V72            : -0.001818
V73            : -0.000000
V74            : 0.000000
V75            : -0.002446
V76            : -0.003146
V77            : -0.000000
V78            : 0.001765
V79            : -0.004171
V80            : -0.003583
V81            : -0.000000
V82            : -0.000000
V83            : 0.000000
V84            : -0.004391
V85            : 0.000000
V86            : 0.000000
V87            : 0.000572
V88            : -0.003501
V89            : -0.003736
V90            : 0.002627
V91            : -0.000000
V92            : 0.002916
V93            : 0.002152
V94            : 0.000000
V95            : 0.000000
V96            : -0.000000
V97            : 0.000000
V98            : 0.000000
V99            : 0.000000
V100           : -0.000000
V101           : 0.000000
V102           : 0.002418
V103           : -0.000000
V104           : 0.001873
V105           : 0.000000
V106           : 0.002404
V107           : -0.003478
V108           : -0.000000
V109           : -0.000000
V110           : 0.000000
V111           : 0.000000
V112           : -0.000000
V113           : 0.000406
V114           : -0.000656
V115           : 0.005566
V116           : -0.003647
V117           : 0.002079
V118           : -0.000000
V119           : -0.000000
V120           : -0.000000
V121           : -0.000329
V122           : -0.003502
V123           : -0.003669
V124           : 0.000000
V125           : 0.002566
V126           : -0.005362
V127           : -0.001624
V128           : 0.002245
V129           : 0.002336
V130           : 0.000000
V131           : -0.000000
V132           : -0.000000
V133           : 0.001280
V134           : -0.000000
V135           : -0.004801
V136           : -0.002632
V137           : 0.000000
V138           : -0.005150
V139           : -0.001613
V140           : 0.008075
V141           : 0.000000
V142           : 0.001919
V143           : -0.000000
V144           : -0.000000
V145           : 0.000000
V146           : -0.000817
V147           : -0.002333
V148           : 0.001463
V149           : 0.000000
V150           : -0.000000
V151           : -0.004880
V152           : 0.000000
V153           : -0.004947
V154           : -0.002414
V155           : 0.004815
V156           : -0.003701
V157           : 0.000000
V158           : 0.001985
V159           : -0.002420
V160           : -0.000000
V161           : 0.002336
V162           : -0.001500
V163           : -0.004398
V164           : 0.000000
V165           : 0.003071
V166           : -0.000000
V167           : -0.000000
V168           : 0.004588
V169           : 0.001751
V170           : -0.000000
V171           : 0.001824
V172           : -0.000000
V173           : 0.000000
V174           : 0.000000
V175           : -0.001733
V176           : 0.002779
V177           : 0.000000
V178           : 0.000000
V179           : -0.000000
V180           : -0.002554
V181           : 0.000000
V182           : -0.005863
V183           : 0.000000
V184           : -0.000000
V185           : -0.000000
V186           : -0.000000
V187           : -0.000000
V188           : -0.005262
V189           : -0.003269
V190           : -0.000000
V191           : 0.000491
V192           : 0.000911
V193           : -0.003035
V194           : -0.003319
V195           : -0.000000
V196           : 0.000000
V197           : -0.001103
V198           : -0.001574
V199           : 0.003250
V200           : -0.003118
V201           : -0.003929
V202           : -0.004263
V203           : 0.000000
V204           : -0.001415
V205           : -0.000000
V206           : -0.004524
V207           : 0.000000
V208           : -0.002461
V209           : 0.000000
V210           : -0.004173
V211           : 0.000000
V212           : 0.000183
V213           : -0.000000
V214           : 0.000000
V215           : 0.000000
V216           : -0.000346
V217           : -0.003190
V218           : -0.000000
V219           : 0.000000
V220           : -0.002946
V221           : -0.002545
V222           : -0.000000
V223           : -0.000715
V224           : -0.003321
V225           : 0.000000
V226           : -0.004929
V227           : -0.000653
V228           : -0.005712
V229           : -0.000000
V230           : -0.004364
V231           : -0.000000
V232           : -0.000000
V233           : -0.001561
V234           : -0.000000
V235           : -0.003161
V236           : -0.000000
V237           : -0.000000
V238           : -0.000000
V239           : 0.000000
V240           : 0.001149
V241           : 0.001015
V242           : -0.004035
V243           : -0.000000
V244           : -0.005720
V245           : 0.002038
V246           : 0.000000
V247           : 0.000000
V248           : -0.000000
V249           : -0.000000
V250           : -0.000000
V251           : -0.002525
V252           : 0.000000
V253           : 0.001677
V254           : -0.002968
V255           : 0.000000
V256           : 0.000000
V257           : 0.003286
V258           : -0.004339
V259           : -0.004278
V260           : 0.000000
V261           : -0.000000
V262           : -0.003018
V263           : 0.000000
V264           : 0.002430
V265           : -0.000000
V266           : -0.002521
V267           : 0.000000
V268           : -0.000000
V269           : 0.003712
V270           : -0.000665
V271           : -0.004474
V272           : 0.002106
V273           : -0.002400
V274           : -0.000000
V275           : 0.002634
V276           : -0.000000
V277           : -0.000000
V278           : -0.000000
V279           : -0.002848
V280           : 0.000948
V281           : 0.002405
V282           : -0.004716
V283           : -0.004939
V284           : -0.000000
V285           : -0.000000
V286           : -0.000000
V287           : -0.000000
V288           : -0.005454
V289           : -0.005202
V290           : -0.004608
V291           : 0.000000
V292           : -0.000000
V293           : -0.000000
V294           : -0.002557
V295           : -0.000000
V296           : 0.000000
V297           : -0.005669
V298           : -0.000000
V299           : 0.000000
V300           : -0.001028
V301           : -0.001509
V302           : -0.000658
V303           : 0.000000
V304           : -0.006545
V305           : -0.003006
V306           : -0.001640
V307           : -0.006074
V308           : -0.000000
V309           : -0.003444
V310           : 0.000000
V311           : -0.000000
V312           : -0.004381
V313           : -0.005215
V314           : -0.000000
V315           : -0.000000
V316           : 0.000000
V317           : 0.000000
V318           : -0.000000
V319           : 0.000000
V320           : 0.000000
V321           : 0.000000
V322           : -0.002057
V323           : 0.000000
V324           : -0.003010
V325           : -0.003481
V326           : -0.003679
V327           : -0.000000
V328           : -0.000000
V329           : 0.000000
V330           : -0.003085
V331           : -0.003671
V332           : -0.000000
V333           : -0.000000
V334           : 0.000000
V335           : -0.000000
V336           : 0.000000
V337           : -0.000000
V338           : -0.003273
V339           : 0.000000
V340           : -0.000842
V341           : -0.000000
V342           : -0.004362
V343           : -0.002166
V344           : -0.002623
V345           : -0.005473
V346           : 0.002348
V347           : -0.002272
V348           : -0.003496
V349           : -0.000000
V350           : -0.000000
V351           : -0.000000
V352           : 0.000000
V353           : -0.003609
V354           : -0.000000
V355           : 0.002209
V356           : -0.000000
V357           : -0.005604
V358           : -0.001794
V359           : -0.004698
V360           : -0.000866
V361           : 0.003848
V362           : -0.000000
V363           : -0.002327
V364           : -0.002130
V365           : -0.004368
V366           : 0.000000
V367           : 0.000000
V368           : -0.004666
V369           : -0.003376
V370           : -0.003587
V371           : -0.000000
V372           : 0.000044
V373           : -0.000000
V374           : -0.000000
V375           : 0.004594
V376           : -0.005368
V377           : -0.001899
V378           : 0.003306
V379           : -0.000000
V380           : 0.000000
V381           : 0.003556
V382           : -0.000000
V383           : 0.003570
V384           : 0.000000
V385           : 0.000000
V386           : 0.002958
V387           : -0.003815
V388           : 0.000000
V389           : 0.001327
V390           : 0.000000
V391           : 0.001738
V392           : 0.002541
V393           : -0.000000
V394           : 0.000882
V395           : 0.000000
V396           : 0.003042
V397           : 0.000000
V398           : 0.001125
V399           : 0.000000
V400           : 0.004467
V401           : 0.000000
V402           : -0.004568
V403           : 0.004128
V404           : 0.000000
V405           : -0.000059
V406           : -0.000000
V407           : -0.001999
V408           : 0.002497
V409           : -0.000000
V410           : 0.000000
V411           : 0.000000
V412           : -0.000000
V413           : 0.000000
V414           : -0.000000
V415           : 0.000000
V416           : -0.002596
V417           : 0.002260
V418           : 0.000000
V419           : 0.006232
V420           : -0.000000
V421           : -0.004652
V422           : 0.000000
V423           : -0.000000
V424           : -0.000000
V425           : 0.001838
V426           : -0.004999
V427           : 0.001895
V428           : -0.000000
V429           : -0.002139
V430           : -0.001984
V431           : -0.000000
V432           : -0.000000
V433           : 0.002997
V434           : 0.000000
V435           : 0.002349
V436           : 0.001214
V437           : -0.002122
V438           : 0.002765
V439           : 0.002551
V440           : -0.003030
V441           : 0.000000
V442           : -0.000000
V443           : 0.000000
V444           : -0.000000
V445           : -0.004579
V446           : -0.002431
V447           : -0.000000
V448           : -0.001491
V449           : 0.000000
V450           : 0.000000
V451           : 0.002061
V452           : -0.001265
V453           : 0.000000
V454           : -0.000000
V455           : -0.004269
V456           : -0.000000
V457           : -0.002379
V458           : -0.000000
V459           : -0.003365
V460           : 0.000000
V461           : -0.003848
V462           : -0.005489
V463           : 0.000000
V464           : -0.003223
V465           : -0.000000
V466           : -0.002583
V467           : 0.000000
V468           : -0.003975
V469           : -0.003739
V470           : 0.002208
V471           : 0.000000
V472           : -0.000000
V473           : -0.000000
V474           : -0.000000
V475           : 0.002823
V476           : 0.000000
V477           : 0.000000
V478           : -0.005395
V479           : 0.002132
V480           : 0.004239
V481           : 0.003711
V482           : -0.001888
V483           : -0.001696
V484           : 0.002722
V485           : 0.000000
V486           : 0.002122
V487           : 0.000000
V488           : 0.002677
V489           : -0.000000
V490           : -0.005081
V491           : -0.000000
V492           : -0.000000
V493           : 0.001857
V494           : -0.005887
V495           : -0.002593
V496           : 0.002390
V497           : -0.000000
V498           : -0.000000
V499           : -0.003260
V500           : -0.000000
V501           : -0.003680
V502           : 0.000000
V503           : -0.000093
V504           : -0.004780
V505           : -0.001686
V506           : 0.000000
V507           : 0.002571
V508           : -0.002249
V509           : 0.003768
V510           : -0.002646
V511           : 0.000000
V512           : 0.003476
V513           : -0.000000
V514           : 0.000000
V515           : -0.000000
V516           : 0.000000
V517           : -0.000000
V518           : 0.003067
V519           : 0.000000
V520           : -0.000000
V521           : 0.007960
V522           : -0.006955
V523           : -0.003544
V524           : -0.002760
V525           : 0.002845
V526           : 0.000000
V527           : 0.001595
V528           : 0.000093
V529           : -0.003606
V530           : -0.003159
V531           : 0.004617
V532           : 0.006267
V533           : -0.000000
V534           : 0.003749
V535           : 0.003710
V536           : 0.000000
V537           : -0.000000
V538           : -0.004589
V539           : -0.002368
V540           : -0.000891
V541           : -0.003061
V542           : 0.001946
V543           : -0.001788
V544           : -0.003646
V545           : -0.000000
V546           : 0.000000
V547           : -0.000667
V548           : -0.004168
V549           : -0.000545
V550           : -0.000000
V551           : 0.000000
V552           : -0.003893
V553           : -0.002162
V554           : -0.001995
V555           : -0.003698
V556           : -0.002706
V557           : -0.004293
V558           : -0.000000
V559           : -0.003368
V560           : 0.002150
V561           : -0.000000
V562           : -0.000000
V563           : -0.005824
V564           : 0.000000
V565           : 0.001053
V566           : 0.006801
V567           : 0.000000
V568           : 0.003734
V569           : -0.000000
V570           : 0.002871
V571           : -0.003514
V572           : 0.000000
V573           : 0.002402
V574           : -0.000000
V575           : -0.001587
V576           : 0.001882
V577           : -0.003014
V578           : 0.002809
V579           : 0.001661
V580           : 0.004931
V581           : -0.000000
V582           : 0.000000
V583           : -0.000000
V584           : -0.000243
V585           : 0.000000
V586           : -0.000000
V587           : -0.000000
V588           : 0.000000
V589           : 0.000000
V590           : -0.005330
V591           : 0.000000
V592           : 0.002238
V593           : -0.000000
V594           : 0.001605
V595           : 0.000000
V596           : -0.002695
V597           : 0.000000
V598           : -0.003214
V599           : -0.000000
V600           : 0.004397
V601           : -0.000000
V602           : 0.000000
V603           : 0.000824
V604           : -0.003387
V605           : -0.003756
V606           : 0.003066
V607           : -0.000000
V608           : 0.003476
V609           : -0.001896
V610           : -0.006187
V611           : -0.000000
V612           : -0.000000
V613           : 0.004181
V614           : 0.003322
V615           : 0.000497
V616           : -0.002992
V617           : 0.003297
V618           : -0.000000
V619           : -0.000542
V620           : 0.000000
V621           : 0.000000
V622           : 0.004453
V623           : 0.000000
V624           : 0.003520
V625           : -0.000000
V626           : 0.000000
V627           : -0.000000
V628           : 0.005134
V629           : -0.000000
V630           : -0.000000
V631           : 0.000000
V632           : 0.002763
V633           : -0.002114
V634           : -0.000000
V635           : 0.000000
V636           : 0.000000
V637           : 0.002117
V638           : -0.002620
V639           : -0.003492
V640           : -0.000000
