custom_lambda_0.0008 Coefficients
==================================================
Bias Term      : 0.007752
V1             : -0.003749
V2             : -0.005688
V3             : 0.006761
V4             : 0.001237
V7             : 0.002491
V11            : 0.003568
V12            : -0.002708
V13            : 0.004649
V15            : 0.003370
V16            : 0.009369
V17            : 0.004191
V18            : -0.002442
V19            : -0.005339
V20            : 0.003534
V21            : -0.003622
V22            : -0.005416
V23            : -0.012142
V24            : 0.005958
V25            : -0.006496
V26            : -0.004098
V27            : -0.006555
V28            : 0.008646
V29            : -0.005189
V30            : 0.006405
V31            : -0.004814
V32            : 0.010849
V33            : 0.012637
V34            : -0.007918
V35            : 0.006407
V36            : -0.005244
V37            : 0.003931
V38            : -0.004888
V39            : -0.007451
V40            : -0.004278
V41            : 0.009405
V42            : -0.002912
V43            : 0.005515
V44            : -0.006817
V45            : 0.006943
V46            : 0.008814
V47            : -0.000844
V48            : -0.013376
V49            : -0.003888
V50            : 0.000360
V51            : -0.008053
V52            : -0.006303
V53            : -0.003035
V54            : 0.006621
V55            : -0.006812
V56            : 0.018149
V57            : 0.010870
V58            : 0.006063
V59            : 0.002122
V60            : -0.001394
V61            : -0.006364
V62            : 0.010327
V63            : 0.000990
V64            : 0.008287
V65            : 0.008815
V66            : 0.003073
V67            : -0.003887
V68            : 0.000135
V69            : -0.008729
V70            : -0.003838
V71            : -0.008923
V72            : -0.004522
V73            : -0.004891
V74            : 0.002258
V75            : -0.006557
V76            : -0.005740
V77            : -0.003932
V78            : 0.004331
V79            : -0.009515
V80            : -0.006147
V81            : -0.002792
V82            : -0.004394
V83            : 0.001040
V84            : -0.007863
V85            : 0.001785
V86            : 0.002221
V87            : 0.007475
V88            : -0.006007
V89            : -0.006409
V90            : 0.003438
V91            : -0.005493
V92            : 0.005735
V93            : 0.006696
V94            : 0.004175
V95            : 0.003372
V96            : -0.005292
V97            : 0.003809
V98            : 0.007337
V99            : 0.008133
V100           : -0.003446
V101           : 0.008488
V102           : 0.005050
V103           : -0.005382
V104           : 0.002781
V105           : 0.002319
V106           : 0.004044
V107           : -0.005966
V108           : -0.002374
V109           : -0.005571
V110           : 0.006827
V111           : 0.005926
V112           : -0.002999
V113           : 0.018187
V114           : -0.008990
V115           : 0.016620
V116           : -0.006258
V117           : 0.003427
V118           : -0.005348
V119           : -0.005335
V120           : -0.007820
V121           : -0.005783
V122           : -0.009122
V123           : -0.006294
V124           : 0.003810
V125           : 0.003216
V126           : -0.009534
V127           : -0.016340
V128           : 0.004850
V129           : 0.007674
V130           : 0.002406
V131           : -0.007029
V132           : -0.009321
V133           : 0.008630
V134           : -0.006594
V135           : -0.010029
V136           : -0.007988
V137           : 0.011995
V138           : -0.013381
V139           : -0.004323
V140           : 0.012686
V141           : 0.003135
V142           : 0.004086
V143           : -0.010051
V144           : -0.003516
V145           : 0.008554
V146           : -0.005087
V147           : -0.008709
V148           : 0.004476
V149           : 0.004219
V150           : -0.011314
V151           : -0.009959
V152           : 0.014089
V153           : -0.009650
V154           : -0.009887
V155           : 0.010235
V156           : -0.008396
V157           : 0.005236
V158           : 0.003136
V159           : -0.008529
V160           : -0.002222
V161           : 0.005397
V162           : -0.006068
V163           : -0.007545
V164           : 0.000594
V165           : 0.004329
V166           : -0.013823
V167           : -0.001545
V168           : 0.013265
V169           : 0.009554
V170           : -0.006189
V171           : 0.005029
V172           : -0.000037
V173           : 0.013582
V174           : 0.000032
V175           : -0.005235
V176           : 0.004856
V177           : 0.003803
V178           : 0.004652
V179           : -0.014063
V180           : -0.006309
V181           : 0.009618
V182           : -0.014926
V183           : 0.007486
V184           : -0.000931
V185           : -0.005630
V186           : -0.002991
V187           : -0.000180
V188           : -0.010279
V189           : -0.009979
V190           : -0.002319
V191           : 0.013293
V192           : 0.003527
V193           : -0.010065
V194           : -0.009311
V195           : -0.013516
V196           : 0.013588
V197           : -0.006696
V198           : -0.007752
V199           : 0.005799
V200           : -0.007535
V201           : -0.007814
V202           : -0.018799
V203           : 0.005583
V204           : -0.010230
V205           : -0.006255
V206           : -0.010214
V207           : 0.002203
V208           : -0.007242
V209           : 0.008143
V210           : -0.009247
V211           : 0.009723
V212           : 0.004929
V213           : -0.001698
V214           : 0.005696
V215           : 0.001517
V216           : -0.004454
V217           : -0.006501
V218           : -0.008978
V219           : 0.001477
V220           : -0.006896
V221           : -0.006597
V222           : -0.004980
V223           : -0.008000
V224           : -0.006559
V225           : 0.010595
V226           : -0.025342
V227           : -0.007663
V228           : -0.011088
V229           : -0.001617
V230           : -0.007932
V231           : -0.002340
V232           : -0.008432
V233           : -0.012552
V234           : -0.006329
V235           : -0.011443
V236           : -0.007037
V237           : -0.001302
V238           : -0.002272
V239           : 0.002364
V240           : 0.004746
V241           : 0.002977
V242           : -0.006963
V243           : -0.004652
V244           : -0.009814
V245           : 0.007427
V246           : 0.004393
V247           : 0.006449
V248           : -0.012251
V249           : -0.005042
V250           : -0.011816
V251           : -0.005805
V252           : 0.003489
V253           : 0.002310
V254           : -0.014032
V255           : 0.009205
V256           : 0.001473
V257           : 0.007019
V258           : -0.010710
V259           : -0.014758
V260           : 0.003254
V261           : -0.003801
V262           : -0.006209
V263           : 0.004459
V264           : 0.003089
V265           : -0.013229
