custom_lambda_0.0546 Coefficients
==================================================
Bias Term      : -0.004963
V1             : 0.004063
V2             : 0.003647
V3             : 0.003649
V4             : 0.005172
V5             : 0.002622
V6             : -0.000000
V7             : 0.004466
V8             : -0.001203
V9             : 0.004084
V10            : 0.005126
V11            : 0.000000
V12            : 0.004262
V13            : 0.005222
V14            : -0.002534
V15            : -0.000623
V16            : -0.001812
V17            : -0.002822
V18            : -0.001584
V19            : -0.001464
V20            : 0.004727
V21            : 0.003439
V22            : 0.003773
V23            : -0.003963
V24            : -0.004180
V25            : -0.003773
V26            : 0.004190
V27            : 0.004624
V28            : 0.000000
V29            : 0.000284
V30            : 0.004920
V31            : -0.004034
V32            : 0.004945
V33            : 0.000551
V34            : 0.004587
V36            : 0.005319
V38            : 0.005317
V39            : 0.002321
V40            : 0.004919
V41            : 0.004992
V42            : 0.003487
V43            : 0.005113
V45            : 0.003772
V46            : 0.004982
V47            : 0.004965
V48            : 0.004210
V49            : -0.001027
V50            : 0.004651
V51            : 0.005115
V52            : 0.004308
V55            : -0.004029
V56            : 0.004572
V57            : -0.004207
V58            : 0.004893
V59            : -0.001324
V60            : 0.005156
V61            : 0.000076
V62            : 0.003334
V63            : 0.000000
V64            : 0.003470
V65            : 0.000252
V67            : 0.005183
V68            : 0.004576
V69            : 0.000000
V70            : 0.005229
V71            : -0.003405
V72            : 0.005390
V73            : -0.000000
V74            : -0.003223
V75            : 0.000040
V76            : 0.002768
V77            : 0.004298
V78            : 0.003588
V79            : 0.000980
V80            : -0.004926
V82            : -0.001817
V83            : 0.005080
V84            : 0.004899
V85            : 0.004607
V86            : 0.005068
V87            : -0.002293
V88            : 0.005328
V89            : 0.001349
V90            : 0.005202
V91            : 0.005244
V92            : 0.000884
V93            : 0.000984
V94            : 0.000000
V95            : 0.004486
V96            : -0.000409
V99            : 0.004948
V100           : -0.004265
V101           : 0.003354
V102           : 0.005026
V103           : -0.000000
V104           : -0.001677
V106           : 0.001090
V107           : -0.003006
V108           : -0.001528
V110           : -0.001553
V111           : -0.002153
V112           : 0.000000
V113           : 0.006084
V114           : 0.004610
V115           : 0.005784
V116           : 0.000000
V117           : 0.004166
V118           : -0.001192
V119           : 0.000189
V120           : 0.004971
V121           : 0.005137
V122           : -0.001349
V124           : -0.001109
V125           : 0.005326
V129           : 0.005107
V130           : 0.004504
V131           : 0.003504
V132           : -0.001370
V133           : -0.001122
V134           : 0.004223
V135           : -0.001474
V136           : 0.004924
V137           : -0.004633
V138           : 0.002330
V139           : 0.000350
V140           : 0.004623
V143           : 0.005000
V146           : 0.000290
V147           : 0.000000
V148           : -0.002649
V151           : -0.000169
V152           : 0.004247
V153           : -0.005723
V154           : 0.004237
V155           : 0.003567
V156           : 0.005193
V157           : -0.001108
V159           : -0.002521
V160           : -0.001400
V161           : -0.000283
V162           : 0.001532
V163           : 0.004330
V165           : 0.002031
V166           : -0.004056
V167           : -0.005585
V168           : 0.004156
V169           : 0.005261
V170           : 0.005264
V172           : 0.005118
V173           : 0.000000
V174           : 0.003846
V175           : -0.000000
V177           : 0.001186
V178           : 0.003342
V179           : -0.004240
V180           : 0.005143
V181           : 0.005001
V182           : -0.004699
V183           : 0.000000
V184           : -0.001454
V185           : 0.003775
V186           : -0.002588
V187           : 0.000000
V188           : 0.004908
V190           : -0.004003
V192           : 0.002735
V194           : 0.004415
V195           : 0.005377
V196           : 0.005010
V197           : -0.002286
V198           : 0.000000
V199           : 0.003019
V201           : 0.005540
V202           : -0.001917
V203           : 0.004460
V204           : 0.005300
V205           : 0.005298
