custom_lambda_0.0207 Coefficients
==================================================
Bias Term      : -0.005382
V1             : 0.004857
V2             : 0.004379
V3             : 0.004347
V4             : 0.005669
V5             : 0.003432
V6             : -0.000000
V7             : 0.005295
V8             : -0.001225
V9             : 0.005036
V10            : 0.005567
V11            : 0.000545
V12            : 0.004929
V13            : 0.005659
V14            : -0.002797
V15            : -0.000750
V16            : -0.001880
V17            : -0.003012
V18            : -0.001659
V19            : -0.001501
V20            : 0.005308
V21            : 0.004093
V22            : 0.004453
V23            : -0.004288
V24            : -0.004733
V25            : -0.004256
V26            : 0.004923
V27            : 0.005263
V28            : 0.000000
V29            : 0.001258
V30            : 0.005514
V31            : -0.004314
V32            : 0.005458
V33            : 0.001574
V34            : 0.005237
V36            : 0.005815
V38            : 0.005785
V39            : 0.002837
V40            : 0.005715
V41            : 0.005751
V42            : 0.004314
V43            : 0.005612
V45            : 0.004564
V46            : 0.005443
V47            : 0.005500
V48            : 0.004911
V49            : -0.001943
V50            : 0.005266
V51            : 0.005694
V52            : 0.005222
V55            : -0.004559
V56            : 0.005386
V57            : -0.004491
V58            : 0.005580
V59            : -0.001533
V60            : 0.005710
V61            : 0.001146
V62            : 0.004062
V63            : 0.000000
V64            : 0.004337
V65            : 0.000932
V67            : 0.005715
V68            : 0.005102
V69            : 0.000000
V70            : 0.006006
V71            : -0.003570
V72            : 0.005968
V73            : -0.000536
V74            : -0.003951
V75            : 0.000506
V76            : 0.003541
V77            : 0.004899
V78            : 0.004569
V79            : 0.001777
V80            : -0.005514
V82            : -0.001861
V83            : 0.005573
V84            : 0.005723
V85            : 0.005350
V86            : 0.005701
V87            : -0.002424
V88            : 0.005777
V89            : 0.002251
V90            : 0.005779
V91            : 0.005901
V92            : 0.001944
V93            : 0.001244
V94            : 0.000852
V95            : 0.005073
V96            : -0.000799
V99            : 0.005399
V100           : -0.005113
V101           : 0.004176
V102           : 0.005602
V103           : -0.000588
V104           : -0.002128
V106           : 0.002240
V107           : -0.003239
V108           : -0.001576
V110           : -0.001594
V111           : -0.002563
V112           : 0.000414
V113           : 0.006703
V114           : 0.005166
V115           : 0.006710
V116           : 0.000002
V117           : 0.004861
V118           : -0.001243
V119           : 0.001285
V120           : 0.005558
V121           : 0.005877
V122           : -0.002242
V124           : -0.001559
V125           : 0.005905
V129           : 0.005607
V130           : 0.005115
V131           : 0.004281
V132           : -0.002524
V133           : -0.001679
V134           : 0.004970
V135           : -0.001521
V136           : 0.005524
V137           : -0.005391
V138           : 0.003294
V139           : 0.001195
V140           : 0.005338
V143           : 0.005594
V146           : 0.001195
