custom_lambda_0.0336 Coefficients
==================================================
Bias Term      : -0.005223
V1             : 0.004555
V2             : 0.004100
V3             : 0.004081
V4             : 0.005480
V5             : 0.003124
V6             : -0.000000
V7             : 0.004979
V8             : -0.001217
V9             : 0.004673
V10            : 0.005399
V11            : 0.000171
V12            : 0.004674
V13            : 0.005492
V14            : -0.002696
V15            : -0.000702
V16            : -0.001854
V17            : -0.002939
V18            : -0.001630
V19            : -0.001487
V20            : 0.005087
V21            : 0.003844
V22            : 0.004193
V23            : -0.004164
V24            : -0.004522
V25            : -0.004072
V26            : 0.004643
V27            : 0.005019
V28            : 0.000000
V29            : 0.000886
V30            : 0.005288
V31            : -0.004207
V32            : 0.005263
V33            : 0.001184
V34            : 0.004990
V36            : 0.005626
V38            : 0.005607
V39            : 0.002640
V40            : 0.005412
V41            : 0.005462
V42            : 0.003999
V43            : 0.005422
V45            : 0.004262
V46            : 0.005267
V47            : 0.005296
V48            : 0.004644
V49            : -0.001594
V50            : 0.005032
V51            : 0.005473
V52            : 0.004873
V55            : -0.004357
V56            : 0.005076
V57            : -0.004382
V58            : 0.005319
V59            : -0.001453
V60            : 0.005499
V61            : 0.000738
V62            : 0.003785
V63            : 0.000000
V64            : 0.004006
V65            : 0.000673
V67            : 0.005512
V68            : 0.004902
V69            : 0.000000
V70            : 0.005710
V71            : -0.003507
V72            : 0.005748
V73            : -0.000033
V74            : -0.003674
V75            : 0.000328
V76            : 0.003246
V77            : 0.004670
V78            : 0.004196
V79            : 0.001473
V80            : -0.005290
V82            : -0.001844
V83            : 0.005385
V84            : 0.005409
V85            : 0.005067
V86            : 0.005460
V87            : -0.002374
V88            : 0.005606
V89            : 0.001907
V90            : 0.005559
V91            : 0.005651
V92            : 0.001540
V93            : 0.001145
V94            : 0.000501
V95            : 0.004849
V96            : -0.000650
V99            : 0.005227
V100           : -0.004790
V101           : 0.003862
V102           : 0.005382
V103           : -0.000116
V104           : -0.001956
V106           : 0.001801
V107           : -0.003150
V108           : -0.001558
V110           : -0.001578
V111           : -0.002407
V112           : 0.000000
V113           : 0.006468
V114           : 0.004954
V115           : 0.006357
V116           : 0.000000
V117           : 0.004596
V118           : -0.001224
V119           : 0.000868
V120           : 0.005334
V121           : 0.005595
V122           : -0.001902
V124           : -0.001388
V125           : 0.005684
V129           : 0.005417
V130           : 0.004882
V131           : 0.003985
V132           : -0.002084
V133           : -0.001466
V134           : 0.004685
V135           : -0.001503
V136           : 0.005295
V137           : -0.005102
V138           : 0.002927
V139           : 0.000873
V140           : 0.005066
V143           : 0.005367
V146           : 0.000850
V147           : 0.000000
V148           : -0.003187
V151           : -0.000620
V152           : 0.005424
V153           : -0.006007
V154           : 0.004633
V155           : 0.004036
V156           : 0.005550
V157           : -0.001609
V159           : -0.002591
V160           : -0.001496
V161           : -0.000714
V162           : 0.002247
V163           : 0.004737
V165           : 0.002699
V166           : -0.004264
V167           : -0.006056
V168           : 0.004648
V169           : 0.005537
V170           : 0.005563
V172           : 0.005463
V173           : 0.000000
V174           : 0.004361
V175           : -0.000000
V177           : 0.001841
V178           : 0.003713
V179           : -0.004540
V180           : 0.005460
V181           : 0.005343
V182           : -0.004997
V183           : 0.000000
V184           : -0.001895
V185           : 0.004171
V186           : -0.002739
