custom_lambda_0.0030 Coefficients
==================================================
Bias Term      : -0.005602
V1             : 0.005273
V2             : 0.004762
V3             : 0.004712
V4             : 0.005929
V5             : 0.003856
V6             : -0.000102
V7             : 0.005729
V8             : -0.001237
V9             : 0.005534
V10            : 0.005798
V11            : 0.001058
V12            : 0.005277
V13            : 0.005887
V14            : -0.002934
V15            : -0.000817
V16            : -0.001915
V17            : -0.003111
V18            : -0.001698
V19            : -0.001521
V20            : 0.005611
V21            : 0.004435
V22            : 0.004808
V23            : -0.004458
V24            : -0.005022
V25            : -0.004508
V26            : 0.005306
V27            : 0.005597
V28            : 0.000253
V29            : 0.001767
V30            : 0.005825
V31            : -0.004460
V32            : 0.005726
V33            : 0.002109
V34            : 0.005577
V36            : 0.006074
V38            : 0.006030
V39            : 0.003106
V40            : 0.006132
V41            : 0.006148
V42            : 0.004746
V43            : 0.005872
V45            : 0.004978
V46            : 0.005684
V47            : 0.005780
V48            : 0.005278
V49            : -0.002422
V50            : 0.005588
V51            : 0.005997
V52            : 0.005700
V55            : -0.004836
V56            : 0.005811
V57            : -0.004639
V58            : 0.005940
V59            : -0.001642
V60            : 0.006000
V61            : 0.001705
V62            : 0.004444
V63            : 0.000267
V64            : 0.004790
V65            : 0.001288
V67            : 0.005992
V68            : 0.005377
V69            : 0.000000
V70            : 0.006413
V71            : -0.003657
V72            : 0.006270
V73            : -0.001226
V74            : -0.004332
V75            : 0.000749
V76            : 0.003945
V77            : 0.005213
V78            : 0.005083
V79            : 0.002194
V80            : -0.005821
V82            : -0.001884
V83            : 0.005830
V84            : 0.006154
V85            : 0.005739
V86            : 0.006031
V87            : -0.002492
V88            : 0.006011
V89            : 0.002724
V90            : 0.006080
V91            : 0.006244
V92            : 0.002500
V93            : 0.001380
V94            : 0.001334
V95            : 0.005379
V96            : -0.001003
V99            : 0.005635
V100           : -0.005555
V101           : 0.004605
V102           : 0.005902
V103           : -0.001236
V104           : -0.002365
V106           : 0.002841
V107           : -0.003361
V108           : -0.001602
V110           : -0.001615
V111           : -0.002777
V112           : 0.001013
V113           : 0.007027
V114           : 0.005456
V115           : 0.007194
V116           : 0.000331
V117           : 0.005225
V118           : -0.001270
V119           : 0.001859
V120           : 0.005865
V121           : 0.006264
V122           : -0.002709
V124           : -0.001795
V125           : 0.006208
V129           : 0.005869
V130           : 0.005434
V131           : 0.004688
V132           : -0.003127
V133           : -0.001970
V134           : 0.005361
V135           : -0.001546
V136           : 0.005839
V137           : -0.005787
V138           : 0.003798
V139           : 0.001638
V140           : 0.005712
V143           : 0.005905
V146           : 0.001669
V147           : 0.000728
V148           : -0.003972
V151           : -0.001277
V152           : 0.007143
V153           : -0.006422
V154           : 0.005212
V155           : 0.004722
V156           : 0.006072
V157           : -0.002340
V159           : -0.002693
V160           : -0.001636
V161           : -0.001343
V162           : 0.003292
V163           : 0.005332
V165           : 0.003675
V166           : -0.004568
V167           : -0.006745
V168           : 0.005366
V169           : 0.005939
V170           : 0.005999
V172           : 0.005965
V173           : 0.000244
