custom_lambda_0.0078 Coefficients
==================================================
Bias Term      : -0.005541
V1             : 0.005158
V2             : 0.004657
V3             : 0.004612
V4             : 0.005858
V5             : 0.003739
V6             : -0.000009
V7             : 0.005609
V8             : -0.001234
V9             : 0.005397
V10            : 0.005734
V11            : 0.000917
V12            : 0.005181
V13            : 0.005825
V14            : -0.002896
V15            : -0.000799
V16            : -0.001905
V17            : -0.003084
V18            : -0.001687
V19            : -0.001515
V20            : 0.005528
V21            : 0.004341
V22            : 0.004710
V23            : -0.004411
V24            : -0.004942
V25            : -0.004439
V26            : 0.005200
V27            : 0.005505
V28            : 0.000048
V29            : 0.001627
V30            : 0.005740
V31            : -0.004420
V32            : 0.005652
V33            : 0.001962
V34            : 0.005484
V36            : 0.006003
V38            : 0.005963
V39            : 0.003032
V40            : 0.006017
V41            : 0.006039
V42            : 0.004627
V43            : 0.005801
V45            : 0.004864
V46            : 0.005617
V47            : 0.005703
V48            : 0.005177
V49            : -0.002290
V50            : 0.005499
V51            : 0.005913
V52            : 0.005568
V55            : -0.004760
V56            : 0.005694
V57            : -0.004598
V58            : 0.005841
V59            : -0.001612
V60            : 0.005921
V61            : 0.001551
V62            : 0.004339
V63            : 0.000119
V64            : 0.004665
V65            : 0.001190
V67            : 0.005916
V68            : 0.005301
V69            : 0.000000
V70            : 0.006301
V71            : -0.003633
V72            : 0.006187
V73            : -0.001036
V74            : -0.004227
V75            : 0.000682
V76            : 0.003834
V77            : 0.005126
V78            : 0.004941
V79            : 0.002079
V80            : -0.005737
V82            : -0.001877
V83            : 0.005759
V84            : 0.006035
V85            : 0.005632
V86            : 0.005940
V87            : -0.002473
V88            : 0.005946
V89            : 0.002594
V90            : 0.005997
V91            : 0.006150
V92            : 0.002347
V93            : 0.001342
V94            : 0.001202
V95            : 0.005295
V96            : -0.000947
V99            : 0.005570
V100           : -0.005434
V101           : 0.004487
V102           : 0.005820
V103           : -0.001058
V104           : -0.002300
V106           : 0.002676
V107           : -0.003327
V108           : -0.001595
V110           : -0.001609
V111           : -0.002718
V112           : 0.000848
V113           : 0.006938
V114           : 0.005376
V115           : 0.007061
V116           : 0.000241
V117           : 0.005125
V118           : -0.001263
V119           : 0.001701
V120           : 0.005781
V121           : 0.006157
V122           : -0.002580
V124           : -0.001730
V125           : 0.006124
V129           : 0.005797
V130           : 0.005346
