custom_lambda_0.0127 Coefficients
==================================================
Bias Term      : -0.005481
V1             : 0.005044
V2             : 0.004551
V3             : 0.004511
V4             : 0.005786
V5             : 0.003622
V6             : -0.000000
V7             : 0.005490
V8             : -0.001230
V9             : 0.005259
V10            : 0.005671
V11            : 0.000775
V12            : 0.005085
V13            : 0.005762
V14            : -0.002858
V15            : -0.000780
V16            : -0.001896
V17            : -0.003057
V18            : -0.001676
V19            : -0.001510
V20            : 0.005444
V21            : 0.004247
V22            : 0.004612
V23            : -0.004364
V24            : -0.004862
V25            : -0.004369
V26            : 0.005095
V27            : 0.005413
V28            : 0.000000
V29            : 0.001486
V30            : 0.005654
V31            : -0.004379
V32            : 0.005578
V33            : 0.001814
V34            : 0.005390
V36            : 0.005931
V38            : 0.005895
V39            : 0.002958
V40            : 0.005902
V41            : 0.005929
V42            : 0.004508
V43            : 0.005729
V45            : 0.004750
V46            : 0.005551
V47            : 0.005626
V48            : 0.005076
V49            : -0.002158
V50            : 0.005410
V51            : 0.005830
V52            : 0.005436
V55            : -0.004683
V56            : 0.005577
V57            : -0.004557
V58            : 0.005742
V59            : -0.001582
V60            : 0.005840
V61            : 0.001397
V62            : 0.004233
V63            : 0.000000
V64            : 0.004540
V65            : 0.001092
V67            : 0.005839
V68            : 0.005225
V69            : 0.000000
V70            : 0.006189
V71            : -0.003609
V72            : 0.006103
V73            : -0.000846
V74            : -0.004122
V75            : 0.000615
V76            : 0.003722
V77            : 0.005040
V78            : 0.004800
V79            : 0.001964
V80            : -0.005652
V82            : -0.001871
V83            : 0.005688
V84            : 0.005916
V85            : 0.005524
V86            : 0.005849
V87            : -0.002454
V88            : 0.005882
V89            : 0.002463
V90            : 0.005914
V91            : 0.006055
V92            : 0.002194
V93            : 0.001305
V94            : 0.001069
V95            : 0.005210
V96            : -0.000890
V99            : 0.005505
V100           : -0.005311
V101           : 0.004368
V102           : 0.005736
V103           : -0.000879
V104           : -0.002234
V106           : 0.002510
V107           : -0.003294
V108           : -0.001588
V110           : -0.001603
V111           : -0.002659
V112           : 0.000683
V113           : 0.006849
V114           : 0.005296
V115           : 0.006927
V116           : 0.000150
V117           : 0.005024
V118           : -0.001255
V119           : 0.001543
V120           : 0.005696
V121           : 0.006050
V122           : -0.002452
V124           : -0.001665
V125           : 0.006041
V129           : 0.005724
V130           : 0.005258
V131           : 0.004464
V132           : -0.002795
V133           : -0.001809
V134           : 0.005145
V135           : -0.001532
V136           : 0.005665
V137           : -0.005569
V138           : 0.003520
V139           : 0.001394
V140           : 0.005506
V143           : 0.005733
V146           : 0.001407
V147           : 0.000460
V148           : -0.003721
V151           : -0.001067
V152           : 0.006595
V153           : -0.006290
V154           : 0.005027
V155           : 0.004503
V156           : 0.005905
V157           : -0.002107
V159           : -0.002660
V160           : -0.001592
V161           : -0.001142
V162           : 0.002958
V163           : 0.005142
V165           : 0.003364
V166           : -0.004471
V167           : -0.006526
V168           : 0.005137
V169           : 0.005811
V170           : 0.005860
V172           : 0.005805
V173           : 0.000000
V174           : 0.004873
V175           : -0.000000
V177           : 0.002494
V178           : 0.004082
V179           : -0.004839
V180           : 0.005775
V181           : 0.005683
V182           : -0.005293
V183           : 0.000000
V184           : -0.002334
V185           : 0.004564
V186           : -0.002890
V187           : 0.001203
V188           : 0.005596
V190           : -0.005601
V192           : 0.003751
V194           : 0.005269
V195           : 0.006022
V196           : 0.005620
V197           : -0.003152
V198           : 0.000264
V199           : 0.003718
V201           : 0.006401
V202           : -0.002576
V203           : 0.005154
V204           : 0.006024
V205           : 0.005837
V207           : 0.003717
V208           : 0.004884
V209           : -0.000971
V210           : 0.005103
V211           : 0.005842
V212           : 0.005794
V213           : 0.005903
V214           : 0.005868
V216           : 0.005775
V217           : 0.005717
V218           : 0.005445
V219           : 0.002838
V220           : 0.005736
V221           : -0.004505
V222           : -0.001987
V224           : 0.005813
V225           : -0.003849
V226           : 0.005830
V227           : 0.005476
V228           : 0.005528
V229           : 0.004873
V230           : 0.005746
V231           : -0.000000
V232           : -0.001178
V233           : 0.005581
V234           : 0.001304
V235           : 0.004706
V238           : 0.005257
V240           : 0.007897
V242           : -0.002407
V244           : 0.005692
V249           : 0.004680
V253           : 0.005959
V254           : 0.005635
V255           : 0.000199
V256           : -0.004799
V257           : 0.005678
V259           : 0.004472
V260           : -0.003454
V262           : -0.004908
V263           : -0.001216
V264           : 0.004959
V265           : 0.003516
V267           : 0.006037
V268           : 0.004771
V269           : -0.005043
V273           : -0.000000
V274           : 0.005465
V275           : 0.005689
V276           : 0.004976
V278           : 0.002708
V279           : 0.005505
V280           : 0.005660
V283           : 0.005242
V284           : 0.005881
V285           : 0.000758
V286           : -0.006337
V287           : -0.003152
V289           : -0.004066
V290           : -0.002633
V293           : 0.005950
V294           : 0.005557
V295           : 0.005725
V297           : 0.004934
V298           : 0.000247
V299           : 0.005693
V300           : 0.005712
V301           : 0.002946
V302           : 0.004132
V304           : 0.000428
V305           : 0.002566
V310           : 0.005518
V313           : -0.001991
V314           : 0.004641
V315           : 0.004543
V316           : 0.005578
V317           : -0.001211
V319           : 0.006172
V320           : -0.002729
V322           : -0.004570
V325           : 0.005394
V326           : -0.004741
V327           : 0.006553
V329           : 0.007413
V331           : 0.000663
V334           : 0.004863
V335           : -0.004181
V336           : 0.004869
V337           : 0.005511
V339           : 0.003681
V340           : -0.004671
V341           : 0.005201
V342           : 0.005306
V343           : 0.001838
V344           : -0.001398
V345           : 0.005042
V346           : 0.001705
V348           : 0.005404
V349           : 0.002397
V350           : 0.004279
V353           : 0.005259
V356           : 0.004570
V357           : 0.005137
V358           : 0.002761
V360           : 0.005293
V361           : 0.005712
V362           : 0.001157
V364           : 0.005370
V366           : 0.005323
V367           : 0.005659
V368           : 0.004074
V369           : 0.005486
V370           : -0.002283
V373           : 0.005843
V374           : 0.005599
V375           : 0.003855
V377           : -0.005126
V378           : 0.005047
V379           : 0.003883
V383           : -0.005391
V384           : 0.000362
V385           : 0.005849
V387           : 0.004232
V388           : 0.001594
V389           : 0.000729
V390           : 0.004143
V391           : 0.003119
V392           : 0.003944
V393           : -0.000566
V394           : 0.005594
V395           : 0.003020
V396           : -0.004887
V397           : 0.005443
V399           : 0.006345
V400           : 0.006543
V404           : 0.004620
V405           : 0.000155
V406           : 0.004083
V407           : 0.009013
V408           : 0.007986
V409           : -0.005486
V410           : 0.005546
V411           : 0.005505
V412           : 0.003632
V413           : -0.000533
V414           : 0.005799
V415           : 0.005806
V416           : -0.004661
V417           : 0.003431
V419           : -0.000210
V420           : 0.006069
V421           : 0.003100
V422           : -0.001225
V424           : 0.005957
V425           : 0.004136
V428           : -0.001711
V430           : 0.001406
V435           : 0.003909
V437           : 0.005653
V442           : 0.004231
V443           : 0.005068
V444           : 0.002379
V445           : 0.002294
V446           : 0.002938
V448           : 0.000674
V449           : 0.003995
V450           : 0.005906
V451           : 0.000661
V452           : 0.000649
V453           : 0.005274
V456           : 0.005604
V459           : 0.005435
V460           : 0.001979
V461           : 0.000000
V462           : 0.005556
V463           : 0.002969
V464           : 0.005455
V466           : -0.002241
V467           : -0.003865
