custom_lambda_0.0018 Coefficients
==================================================
Bias Term      : -0.005616
V1             : 0.005299
V2             : 0.004787
V3             : 0.004736
V4             : 0.005946
V5             : 0.003883
V6             : -0.000123
V7             : 0.005757
V8             : -0.001238
V9             : 0.005566
V10            : 0.005813
V11            : 0.001091
V12            : 0.005300
V13            : 0.005902
V14            : -0.002943
V15            : -0.000821
V16            : -0.001917
V17            : -0.003118
V18            : -0.001700
V19            : -0.001522
V20            : 0.005631
V21            : 0.004458
V22            : 0.004831
V23            : -0.004469
V24            : -0.005040
V25            : -0.004525
V26            : 0.005331
V27            : 0.005619
V28            : 0.000301
V29            : 0.001800
V30            : 0.005845
V31            : -0.004469
V32            : 0.005743
V33            : 0.002144
V34            : 0.005599
V36            : 0.006091
V38            : 0.006046
V39            : 0.003124
V40            : 0.006159
V41            : 0.006174
V42            : 0.004774
V43            : 0.005889
V45            : 0.005005
V46            : 0.005699
V47            : 0.005798
V48            : 0.005302
V49            : -0.002453
V50            : 0.005609
V51            : 0.006016
V52            : 0.005730
V55            : -0.004853
V56            : 0.005839
V57            : -0.004648
V58            : 0.005963
V59            : -0.001649
V60            : 0.006019
V61            : 0.001741
V62            : 0.004468
V63            : 0.000302
V64            : 0.004819
V65            : 0.001311
V67            : 0.006010
V68            : 0.005394
V69            : 0.000000
V70            : 0.006439
V71            : -0.003662
V72            : 0.006290
V73            : -0.001271
V74            : -0.004356
V75            : 0.000765
V76            : 0.003971
V77            : 0.005233
V78            : 0.005116
V79            : 0.002221
V80            : -0.005841
V82            : -0.001885
V83            : 0.005847
V84            : 0.006182
V85            : 0.005764
V86            : 0.006052
V87            : -0.002496
V88            : 0.006026
V89            : 0.002754
V90            : 0.006099
V91            : 0.006267
V92            : 0.002536
V93            : 0.001389
V94            : 0.001366
V95            : 0.005399
V96            : -0.001016
V99            : 0.005650
V100           : -0.005584
V101           : 0.004633
V102           : 0.005922
V103           : -0.001277
V104           : -0.002380
V106           : 0.002880
V107           : -0.003369
V108           : -0.001603
V110           : -0.001616
V111           : -0.002790
V112           : 0.001051
V113           : 0.007048
V114           : 0.005475
V115           : 0.007225
V116           : 0.000352
V117           : 0.005248
V118           : -0.001272
V119           : 0.001896
V120           : 0.005885
V121           : 0.006288
V122           : -0.002739
V124           : -0.001810
V125           : 0.006227
V129           : 0.005885
V130           : 0.005455
V131           : 0.004714
V132           : -0.003166
V133           : -0.001989
V134           : 0.005386
V135           : -0.001548
V136           : 0.005859
V137           : -0.005812
V138           : 0.003830
V139           : 0.001666
V140           : 0.005736
V143           : 0.005925
V146           : 0.001699
V147           : 0.000759
V148           : -0.004001
V151           : -0.001301
V152           : 0.007207
V153           : -0.006438
V154           : 0.005234
V155           : 0.004748
V156           : 0.006091
V157           : -0.002367
V159           : -0.002697
V160           : -0.001642
V161           : -0.001366
V162           : 0.003331
V163           : 0.005354
V165           : 0.003712
V166           : -0.004579
V167           : -0.006771
V168           : 0.005393
V169           : 0.005954
V170           : 0.006016
V172           : 0.005984
V173           : 0.000277
V174           : 0.005141
V175           : -0.000036
V177           : 0.002835
V178           : 0.004276
V179           : -0.004995
V180           : 0.005940
V181           : 0.005860
V182           : -0.005448
V183           : 0.000035
V184           : -0.002563
V185           : 0.004770
V186           : -0.002969
V187           : 0.001544
V188           : 0.005775
V190           : -0.006017
V192           : 0.004016
V194           : 0.005492
V195           : 0.006190
V196           : 0.005779
V197           : -0.003377
V198           : 0.000430
V199           : 0.003901
V201           : 0.006625
V202           : -0.002747
V203           : 0.005335
V204           : 0.006213
V205           : 0.005977
V207           : 0.003954
V208           : 0.005067
V209           : -0.001197
V210           : 0.005255
V211           : 0.006004
V212           : 0.005973
V213           : 0.006045
V214           : 0.006054
V216           : 0.005966
V217           : 0.005974
V218           : 0.005594
V219           : 0.003121
V220           : 0.005943
V221           : -0.004674
V222           : -0.002082
V224           : 0.005969
V225           : -0.004190
V226           : 0.005989
V227           : 0.005626
V228           : 0.005716
V229           : 0.005150
V230           : 0.005947
V231           : -0.000052
V232           : -0.001632
V233           : 0.005737
V234           : 0.001676
V235           : 0.004904
V238           : 0.005455
V240           : 0.008166
V242           : -0.002452
V244           : 0.005848
V249           : 0.004883
V253           : 0.006127
V254           : 0.005784
V255           : 0.000411
V256           : -0.004902
V257           : 0.005869
V259           : 0.004647
V260           : -0.003684
V262           : -0.005219
V263           : -0.001497
V264           : 0.005236
V265           : 0.003788
V267           : 0.006688
V268           : 0.004964
V269           : -0.005214
